_id,DISTRICTE,BARRI,GRUP,HABITANTS GRUP,HABITANTS,HABITANTS 20-70,TOTAL,LLIURES,ORA,GUALS,PÀRQUINGS,SOLARS,ALTRES,TURISMES,PLACES/HABITANTS,PLACES/HABITANTS 20-70,PLACES/TURISMES,HABITANTS/TURISMES,HABITANTS 20-70/TURISMES,HABITANTS/HABITANTS 20-70
61,CAMPANAR,Districte,oct-14,2142,"","","","","","","","","","","","","","","",""
62,LA SAIDIA,Districte,oct-14,2111,"","","","","","","","","","","","","","","",""
63,EL PLA DEL REAL,Districte,oct-14,1500,"","","","","","","","","","","","","","","",""
64,L'OLIVERETA,Districte,oct-14,2308,"","","","","","","","","","","","","","","",""
65,PATRAIX,Districte,oct-14,2862,"","","","","","","","","","","","","","","",""
66,JESUS,Districte,oct-14,2455,"","","","","","","","","","","","","","","",""
67,QUATRE CARRERES,Districte,oct-14,3802,"","","","","","","","","","","","","","","",""
68,POBLATS MARITIMS,Districte,oct-14,2859,"","","","","","","","","","","","","","","",""
69,CAMINS AL GRAU,Districte,oct-14,3746,"","","","","","","","","","","","","","","",""
70,ALGIROS,Districte,oct-14,1394,"","","","","","","","","","","","","","","",""
71,BENIMACLET,Districte,oct-14,1128,"","","","","","","","","","","","","","","",""
72,RASCANYA,Districte,oct-14,3055,"","","","","","","","","","","","","","","",""
73,BENICALAP,Districte,oct-14,2373,"","","","","","","","","","","","","","","",""
74,POBLATS DEL NORD,Districte,oct-14,420,"","","","","","","","","","","","","","","",""
75,POBLATS DE L'OEST,Districte,oct-14,771,"","","","","","","","","","","","","","","",""
76,POBLATS DEL SUD,Districte,oct-14,1049,"","","","","","","","","","","","","","","",""
77,CIUTAT VELLA,Districte,15 - 19,1076,"","","","","","","","","","","","","","","",""
78,L'EIXAMPLE,Districte,15 - 19,1932,"","","","","","","","","","","","","","","",""
79,EXTRAMURS,Districte,15 - 19,2199,"","","","","","","","","","","","","","","",""
80,CAMPANAR,Districte,15 - 19,1731,"","","","","","","","","","","","","","","",""
81,LA SAIDIA,Districte,15 - 19,1986,"","","","","","","","","","","","","","","",""
82,EL PLA DEL REAL,Districte,15 - 19,1523,"","","","","","","","","","","","","","","",""
83,L'OLIVERETA,Districte,15 - 19,2264,"","","","","","","","","","","","","","","",""
84,PATRAIX,Districte,15 - 19,3027,"","","","","","","","","","","","","","","",""
85,JESUS,Districte,15 - 19,2350,"","","","","","","","","","","","","","","",""
86,QUATRE CARRERES,Districte,15 - 19,3640,"","","","","","","","","","","","","","","",""
87,POBLATS MARITIMS,Districte,15 - 19,2799,"","","","","","","","","","","","","","","",""
88,CAMINS AL GRAU,Districte,15 - 19,3549,"","","","","","","","","","","","","","","",""
89,ALGIROS,Districte,15 - 19,1621,"","","","","","","","","","","","","","","",""
90,BENIMACLET,Districte,15 - 19,1223,"","","","","","","","","","","","","","","",""
91,RASCANYA,Districte,15 - 19,2750,"","","","","","","","","","","","","","","",""
92,BENICALAP,Districte,15 - 19,2463,"","","","","","","","","","","","","","","",""
93,POBLATS DEL NORD,Districte,15 - 19,341,"","","","","","","","","","","","","","","",""
94,POBLATS DE L'OEST,Districte,15 - 19,768,"","","","","","","","","","","","","","","",""
95,POBLATS DEL SUD,Districte,15 - 19,910,"","","","","","","","","","","","","","","",""
96,CIUTAT VELLA,Districte,20 - 24,1343,"","","","","","","","","","","","","","","",""
97,L'EIXAMPLE,Districte,20 - 24,1971,"","","","","","","","","","","","","","","",""
98,EXTRAMURS,Districte,20 - 24,2371,"","","","","","","","","","","","","","","",""
99,CAMPANAR,Districte,20 - 24,1594,"","","","","","","","","","","","","","","",""
100,LA SAIDIA,Districte,20 - 24,2459,"","","","","","","","","","","","","","","",""
101,EL PLA DEL REAL,Districte,20 - 24,1786,"","","","","","","","","","","","","","","",""
102,L'OLIVERETA,Districte,20 - 24,2522,"","","","","","","","","","","","","","","",""
103,PATRAIX,Districte,20 - 24,2919,"","","","","","","","","","","","","","","",""
104,JESUS,Districte,20 - 24,2670,"","","","","","","","","","","","","","","",""
105,QUATRE CARRERES,Districte,20 - 24,3637,"","","","","","","","","","","","","","","",""
