Carrer / Calle;Tipus Carrer / Tipo Calle;Núm. Finca;OBJECTID;geo_shape;geo_point_2d
RICARDO MUxOZ SUAY (CINEASTA);C;S/N;37635;"{""coordinates"": [-0.35446284668845085, 39.45414267429751], ""type"": ""Point""}";39.45414267429751, -0.35446284668845085
SANTO DOMINGO DE GUZMAN;PL;S/N;37640;"{""coordinates"": [-0.3962328621823331, 39.44786732415502], ""type"": ""Point""}";39.44786732415502, -0.3962328621823331
VICENTE BELTRAN GRIMAL (ESCULTOR);C;3;37643;"{""coordinates"": [-0.34757355021112957, 39.463753365363594], ""type"": ""Point""}";39.463753365363594, -0.34757355021112957
CIUDAD DE BRUJAS;PL;5;37652;"{""coordinates"": [-0.37991143983524983, 39.47375685178198], ""type"": ""Point""}";39.47375685178198, -0.37991143983524983
TAVERNES DE VALLDIGNA;PL;5;37654;"{""coordinates"": [-0.3805063096533563, 39.47743490571098], ""type"": ""Point""}";39.47743490571098, -0.3805063096533563
ALFONSO EL MAGNANIMO;PL;6;37659;"{""coordinates"": [-0.37079117231403963, 39.471440123252314], ""type"": ""Point""}";39.471440123252314, -0.37079117231403963
FRANCIA;AV;11;37660;"{""coordinates"": [-0.35252633689902907, 39.46057757512273], ""type"": ""Point""}";39.46057757512273, -0.35252633689902907
REAL DE MADRID;AV;14;37661;"{""coordinates"": [-0.3907292927032907, 39.43560077207079], ""type"": ""Point""}";39.43560077207079, -0.3907292927032907
MALVARROSA;AV;85ac;37664;"{""coordinates"": [-0.3281072404327158, 39.48093128750482], ""type"": ""Point""}";39.48093128750482, -0.3281072404327158
VIRGEN DE LA FUENSANTA;C;2;37666;"{""coordinates"": [-0.4077422599062557, 39.46719317264192], ""type"": ""Point""}";39.46719317264192, -0.4077422599062557
GASPAR AGUILAR;AV;92;37679;"{""coordinates"": [-0.3927699750119916, 39.45299997149531], ""type"": ""Point""}";39.45299997149531, -0.3927699750119916
BLASCO IBAxEZ;AV;17;37680;"{""coordinates"": [-0.36239929600162435, 39.4786657432904], ""type"": ""Point""}";39.4786657432904, -0.36239929600162435
JUAN VERDEGUER;C;S/N;37683;"{""coordinates"": [-0.3334392873981905, 39.45929780501868], ""type"": ""Point""}";39.45929780501868, -0.3334392873981905
DUQUE DE MANDAS;C;7ac;37684;"{""coordinates"": [-0.37062647827524386, 39.494682573155224], ""type"": ""Point""}";39.494682573155224, -0.37062647827524386
VALLE DE AYORA;C;1;37685;"{""coordinates"": [-0.3979590569343188, 39.49144258359665], ""type"": ""Point""}";39.49144258359665, -0.3979590569343188
MEDITERRANEO;C;30;37691;"{""coordinates"": [-0.32910069421296073, 39.46763201375305], ""type"": ""Point""}";39.46763201375305, -0.32910069421296073
FUENTE DE SAN LUIS;CRA;141;37695;"{""coordinates"": [-0.3695006572400084, 39.45015580976132], ""type"": ""Point""}";39.45015580976132, -0.3695006572400084
PIROTECNIC VALENCIA;PL;S/N;37696;"{""coordinates"": [-0.3576353913172392, 39.45905891699437], ""type"": ""Point""}";39.45905891699437, -0.3576353913172392
PIO BAROJA (ESCRIPTOR);AV;S/N;37697;"{""coordinates"": [-0.40663101226620535, 39.47799166819342], ""type"": ""Point""}";39.47799166819342, -0.40663101226620535
EMILIO ATTARD;PL;S/N;37698;"{""coordinates"": [-0.34729899778520196, 39.47384307011229], ""type"": ""Point""}";39.47384307011229, -0.34729899778520196
BURJASOT;AV;192;37700;"{""coordinates"": [-0.39361392789671956, 39.49263851985758], ""type"": ""Point""}";39.49263851985758, -0.39361392789671956
MANUEL SANCHIS GUARNER;PL;1;37701;"{""coordinates"": [-0.3756012768234202, 39.45739849814256], ""type"": ""Point""}";39.45739849814256, -0.3756012768234202
FERNANDO ABRIL MARTORELL;AV;S/N;37702;"{""coordinates"": [-0.37647659912777987, 39.44469408470234], ""type"": ""Point""}";39.44469408470234, -0.37647659912777987
RINCON DE ADEMUZ;C;17;37704;"{""coordinates"": [-0.40279581628790273, 39.471781805027796], ""type"": ""Point""}";39.471781805027796, -0.40279581628790273
BACHILLER;C;S/N;37705;"{""coordinates"": [-0.3643078853717031, 39.48283613652022], ""type"": ""Point""}";39.48283613652022, -0.3643078853717031
JOSE ANDREU ALABARTA;C;31ac;37707;"{""coordinates"": [-0.4039182202324409, 39.45294538039757], ""type"": ""Point""}";39.45294538039757, -0.4039182202324409
