objectid;Código;Bocas;Situación;Estado;Tipo calle;Calle;Número;APERTURA;M_DERECHA;M_INFERIOR;M_IZQUIERDA;OPERATIVO;geo_shape;geo_point_2d
6423;H1641;3 O 70;U;O;Calle;Gonzal Tejero Langarita;s/n;D;;;;S;"{""coordinates"": [-0.3844013765911406, 39.44008080315105], ""type"": ""Point""}";39.44008080315105, -0.3844013765911406
7439;H1675;3 O 70;U;O;Calle;ZAL(sin nombre);s/n;I;;;;S;"{""coordinates"": [-0.34048917389378586, 39.440483569010105], ""type"": ""Point""}";39.440483569010105, -0.34048917389378586
7441;H1677;3 O 70;U;O;Calle;ZAL(sin nombre);s/n;I;;;;S;"{""coordinates"": [-0.34012439358764496, 39.43798123724522], ""type"": ""Point""}";39.43798123724522, -0.34012439358764496
3921;H1750;3 O 70;U;O;Calle;Ramon y Cajal 10 esq C Ermita;;D;;;;S;"{""coordinates"": [-0.38071073609938183, 39.465190651018254], ""type"": ""Point""}";39.465190651018254, -0.38071073609938183
3923;H1623;3 O 70;U;O;C;TRES FORQUES;35;D;11.0;2.3;;S;"{""coordinates"": [-0.3926654553103261, 39.46398173820349], ""type"": ""Point""}";39.46398173820349, -0.3926654553103261
3925;H1604;3 O 70;U;O;C;Ingeniero Joaquín Benlloch;s/n;D;;;;S;"{""coordinates"": [-0.3715208329672074, 39.4464915478124], ""type"": ""Point""}";39.4464915478124, -0.3715208329672074
3932;H1560;3 O 70;U;O;C;Ciutat del aprenent;S/N;D;;;;S;"{""coordinates"": [-0.3919499912952896, 39.44114927297834], ""type"": ""Point""}";39.44114927297834, -0.3919499912952896
3933;H1558;3 O 70;U;O;Avd;Navarro Reverter;14;D;;2.0;3.0;S;"{""coordinates"": [-0.3664035142356977, 39.470906493611324], ""type"": ""Point""}";39.470906493611324, -0.3664035142356977
3934;H1565;3 O 70;U;O;C;Santa Barbara;26;D;;;;S;"{""coordinates"": [-0.40237281864816293, 39.53911136084285], ""type"": ""Point""}";39.53911136084285, -0.40237281864816293
3940;Z325;3 O 70;F;O;;VIAL CENTRAL - MALLADA MATA DE FANG;;D;;;;S;"{""coordinates"": [-0.3123005233437081, 39.339296278203975], ""type"": ""Point""}";39.339296278203975, -0.3123005233437081
3942;H1718;3 O 70;U;O;Calle;Emili Camps i Gallego;s/n;I;;;;S;"{""coordinates"": [-0.39550374614827444, 39.499392940873626], ""type"": ""Point""}";39.499392940873626, -0.39550374614827444
3944;H1318;3 O 70;U;O;C;TRES FORQUES;149 Acc;D;;0.5;6.0;S;"{""coordinates"": [-0.4087664382852978, 39.463088383967005], ""type"": ""Point""}";39.463088383967005, -0.4087664382852978
3945;H1556;3 O 70;U;O;C;Alboraya;39;D;3.0;;;S;"{""coordinates"": [-0.3696853610732523, 39.48394293241658], ""type"": ""Point""}";39.48394293241658, -0.3696853610732523
3946;H1383;3 O 70;U;O;;MARTI GRAJALES;19;D;;1.0;0.5;S;"{""coordinates"": [-0.3326997185216589, 39.468653215041975], ""type"": ""Point""}";39.468653215041975, -0.3326997185216589
