OBJECTID;Nombre Places / Número Plazas;geo_shape;geo_point_2d
223312;1;"{""coordinates"": [-0.38206072650703427, 39.48474660617962], ""type"": ""Point""}";39.48474660617962, -0.38206072650703427
223320;1;"{""coordinates"": [-0.40091737684311435, 39.468177689636285], ""type"": ""Point""}";39.468177689636285, -0.40091737684311435
223325;1;"{""coordinates"": [-0.39204023405628485, 39.46613922394507], ""type"": ""Point""}";39.46613922394507, -0.39204023405628485
223328;1;"{""coordinates"": [-0.3934583236632847, 39.45521464907267], ""type"": ""Point""}";39.45521464907267, -0.3934583236632847
223333;1;"{""coordinates"": [-0.36026209480102284, 39.47280441371737], ""type"": ""Point""}";39.47280441371737, -0.36026209480102284
223335;1;"{""coordinates"": [-0.39036857966585053, 39.45319724374217], ""type"": ""Point""}";39.45319724374217, -0.39036857966585053
223336;1;"{""coordinates"": [-0.3910749048769774, 39.45214183276385], ""type"": ""Point""}";39.45214183276385, -0.3910749048769774
223337;1;"{""coordinates"": [-0.39015942865667513, 39.451750421610875], ""type"": ""Point""}";39.451750421610875, -0.39015942865667513
223340;1;"{""coordinates"": [-0.39204366385388645, 39.448889139164834], ""type"": ""Point""}";39.448889139164834, -0.39204366385388645
223341;1;"{""coordinates"": [-0.3897646641330479, 39.45142692287996], ""type"": ""Point""}";39.45142692287996, -0.3897646641330479
223342;1;"{""coordinates"": [-0.3897212097517363, 39.45100476571372], ""type"": ""Point""}";39.45100476571372, -0.3897212097517363
223349;1;"{""coordinates"": [-0.39468574438551945, 39.49903200656974], ""type"": ""Point""}";39.49903200656974, -0.39468574438551945
223354;1;"{""coordinates"": [-0.36620393971992, 39.458192973151405], ""type"": ""Point""}";39.458192973151405, -0.36620393971992
223355;1;"{""coordinates"": [-0.365558744958428, 39.457679649837516], ""type"": ""Point""}";39.457679649837516, -0.365558744958428
223358;1;"{""coordinates"": [-0.3649180899618466, 39.4566871038471], ""type"": ""Point""}";39.4566871038471, -0.3649180899618466
223359;1;"{""coordinates"": [-0.36262114246770766, 39.4323644944525], ""type"": ""Point""}";39.4323644944525, -0.36262114246770766
223360;1;"{""coordinates"": [-0.36696888661928906, 39.460017065451986], ""type"": ""Point""}";39.460017065451986, -0.36696888661928906
223363;1;"{""coordinates"": [-0.39577564733941617, 39.48132423086659], ""type"": ""Point""}";39.48132423086659, -0.39577564733941617
223367;1;"{""coordinates"": [-0.37467542351015104, 39.45655286703089], ""type"": ""Point""}";39.45655286703089, -0.37467542351015104
