geo_point_2d;geo_shape;nivel2;nivel3;id;m2_poligon;m2zv_enero;m2zv_febre;m2zv_marzo;m2zv_abril;m2zv_mayo;m2zv_junio;m2zv_julio;m2zv_agost;m2zv_octub;m2zv_novie;m2zv_dicie
39.48210391345263, -0.3638039210811971;"{""coordinates"": [[[-0.363767706403988, 39.4821397454703], [-0.363826437955459, 39.48201936226257], [-0.363815885797627, 39.482079116745], [-0.363828582618666, 39.48207940478955], [-0.363816551097579, 39.48214560661583], [-0.363767706403988, 39.4821397454703]]], ""type"": ""Polygon""}";Zonas verdes;Jardin;96;30.232;;;;;;;;;;;
39.47206379711746, -0.34778832993050246;"{""coordinates"": [[[-0.347434280490171, 39.47207107972381], [-0.347530553252626, 39.47187941601521], [-0.348133542197716, 39.47205202737679], [-0.348054140576005, 39.47225032328082], [-0.347434280490171, 39.47207107972381]]], ""type"": ""Polygon""}";Zonas verdes;Jardines;97;1287.164;;;;;100.0;;;;;;
39.472705762425754, -0.34771687934533746;"{""coordinates"": [[[-0.347495799932197, 39.47287259735309], [-0.347688454913206, 39.4724670053652], [-0.347939178447843, 39.47254246796349], [-0.347743574984657, 39.47294358239668], [-0.347495799932197, 39.47287259735309]]], ""type"": ""Polygon""}";Zonas verdes;Jardines;101;1096.777;;;;401.047;940.226;771.624;787.939;701.415;845.947;906.063;
39.48116616881846, -0.364811182053108;"{""coordinates"": [[[-0.365051145880878, 39.48179198549033], [-0.364397340168658, 39.48159814943979], [-0.364081722992399, 39.48151332041642], [-0.364130137002432, 39.481408760214826], [-0.364514521259903, 39.48063183318988], [-0.364739265745975, 39.48055098656453], [-0.365550898083789, 39.48078884372383], [-0.365051145880878, 39.48179198549033]], [[-0.365195383521458, 39.481349096867824], [-0.365129493936206, 39.48132745112869], [-0.365122434080445, 39.48133763761648], [-0.364893466393498, 39.481269696770795], [-0.364897554706636, 39.48126194644816], [-0.364861227437676, 39.48125229856246], [-0.364680193993971, 39.48162370462055], [-0.364747827361334, 39.48164190647137], [-0.364751804763311, 39.481637094100996], [-0.36491953387258, 39.48168501822436], [-0.364916710414326, 39.48169279813087], [-0.365013160594111, 39.48171851617856], [-0.365028028307126, 39.48169336120927], [-0.365016835984663, 39.48168820574238], [-0.365166129275997, 39.48138667035638], [-0.365177506484292, 39.481386928330195], [-0.365195383521458, 39.481349096867824]], [[-0.364451502138325, 39.48144792070285], [-0.364390935839356, 39.48144360563053], [-0.36438570047164, 39.48148172369498], [-0.364346585486168, 39.481478876197905], [-0.364366306133349, 39.48135872763779], [-0.364380174960272, 39.481360023258226], [-0.364382733712441, 39.48132576509933], [-0.364511194224202, 39.48134142519808], [-0.364529508615437, 39.481258502268965], [-0.364515639804829, 39.48125720666695], [-0.364530161773854, 39.48117419772341], [-0.364570503323086, 39.481178054029876], [-0.36456746255999, 39.48122504686678], [-0.364629293591173, 39.48122939052831], [-0.364645147236351, 39.48111111631951], [-0.364357667103547, 39.48108498678541], [-0.364312979089029, 39.481296730530026], [-0.364198202499602, 39.48128726423171], [-0.364153291820852, 39.481504885576115], [-0.364410832894286, 39.481545044295885], [-0.364430908969051, 39.481548174346436], [-0.364451502138325, 39.48144792070285]], [[-0.36512559445996, 39.48115338537853], [-0.365168094814444, 39.48116709467075], [-0.36520006755487, 39.4811580153934], [-0.36520839826899, 39.48117193004594], [-0.365312013394673, 39.48114192440494], [-0.365303607516566, 39.48112996926428], [-0.365384172354314, 39.48110728395996], [-0.365365278123849, 39.4810715601198], [-0.36532687345234, 39.48108343497388], [-0.365315940129072, 39.48107142162784], [-0.365358248138441, 39.481056693914596], [-0.365342850486143, 39.481028891481635], [-0.365442708773877, 39.48099782038719], [-0.365425115286468, 39.48096114499202], [-0.365409908791292, 39.480961780377825], [-0.365385137387663, 39.480914157837994], [-0.365492766335436, 39.48087836030744], [-0.36547621468232, 39.4808475912659], [-0.365517369735064, 39.48082989598949], [-0.365491260651656, 39.480784202551206], [-0.365446461174094, 39.48079789367459], [-0.365425011766166, 39.48076121553926], [-0.3653135813718, 39.48079880334436], [-0.365294686125374, 39.480763078568586], [-0.365304873480953, 39.480761348341765], [-0.365287280119923, 39.4807246729288], [-0.365178461570277, 39.48075848208829], [-0.365160498407478, 39.480731602514815], [-0.365118265677756, 39.480744371557165], [-0.365112351566131, 39.48073345215676], [-0.365157260862973, 39.48071682228967], [-0.365134648469292, 39.480679052895425], [-0.365046241611033, 39.480708422189096], [-0.36503779884918, 39.480697446347186], [-0.364951845406878, 39.48072883240986], [-0.364958875275137, 39.480743698636374], [-0.364926902699967, 39.48075277785324], [-0.364913041137572, 39.48078481851051], [-0.364945559172331, 39.48083484288127], [-0.365056854091939, 39.480795923567364], [-0.365223807065879, 39.48106541111135], [-0.365102162120746, 39.481103831034396], [-0.36512559445996, 39.48115338537853]], [[-0.364822389429807, 39.48094061532482], [-0.36457940663957, 39.48087529650546], [-0.364571229925032, 39.480890798928414], [-0.364544905289317, 39.48088431916483], [-0.364566943718976, 39.48083677703619], [-0.364471347934909, 39.48080965011784], [-0.364373047140727, 39.48101278171894], [-0.364463138158078, 39.48103933613274], [-0.364476927135291, 39.481009255095515], [-0.364752332937482, 39.48108707398175], [-0.364811845231018, 39.48101881194698], [-0.364822389429807, 39.48094061532482]], [[-0.364587644411514, 39.480791164871356], [-0.364698022972347, 39.48074954771444], [-0.364722978761557, 39.4807922738081], [-0.364798709225392, 39.48076359654563], [-0.364774943100404, 39.48072285955657], [-0.364882646024441, 39.48068510306019], [-0.364910295124193, 39.4806229812802], [-0.364835225888684, 39.48060069028986], [-0.364824477698354, 39.480583778524974], [-0.364738635293482, 39.48061222558577], [-0.364732610236537, 39.48060424591428], [-0.364603085168698, 39.48065033054853], [-0.364605390660133, 39.48065626556125], [-0.364516761648237, 39.48069151213648], [-0.364527287795576, 39.48071430161857], [-0.364511310249984, 39.4807688440822], [-0.364587644411514, 39.480791164871356]]], ""type"": ""Polygon""}";Zonas verdes;Jardin;103;5910.167;527.154;587.18;1873.945;2142.921;3014.388;2265.999;2449.059;2529.132;1411.52;1770.037;
39.48083310846073, -0.36356639538115737;"{""coordinates"": [[[-0.363590775652474, 39.481172170901104], [-0.363222991142803, 39.48106389261063], [-0.363150312566002, 39.481241193528945], [-0.363069224111786, 39.48121163166773], [-0.363220055034605, 39.4809034681541], [-0.363531521851026, 39.48099420065576], [-0.363638639556055, 39.48077782965076], [-0.363021193897764, 39.480597912330424], [-0.362969734055831, 39.480702569610415], [-0.362806943175701, 39.48065542412504], [-0.362904387808068, 39.48044776736981], [-0.363689165717628, 39.4806757679289], [-0.363857618911902, 39.4803354987872], [-0.364070755864499, 39.48039267471043], [-0.363953639837462, 39.480630998019244], [-0.36406579485187, 39.480664689113766], [-0.363994698867213, 39.48080019428834], [-0.363938117763754, 39.480789614604134], [-0.363927701114775, 39.48068468741849], [-0.363878000175092, 39.480686809392786], [-0.363874112295453, 39.48065801655914], [-0.363925226124145, 39.480654528477395], [-0.363922659977603, 39.480633122188145], [-0.363791038363686, 39.48064147827967], [-0.363808832815541, 39.480798301190156], [-0.363872492623917, 39.480794197777826], [-0.363803407396341, 39.48093028446437], [-0.36407513338577, 39.48100965565664], [-0.364075166138151, 39.48101131221095], [-0.364013197740426, 39.48113765081521], [-0.363792225097226, 39.4810791321706], [-0.363642546015321, 39.481389480176325], [-0.363500120868878, 39.481349064195065], [-0.363590775652474, 39.481172170901104]]], ""type"": ""Polygon""}";Zonas verdes;Jardin;104;4261.847;;;;188.994;528.214;385.664;484.832;333.6;;100.0;
39.49752578921766, -0.38613880942218376;"{""coordinates"": [[[-0.386109143426537, 39.4972558866291], [-0.386164098667204, 39.497254759918064], [-0.386215711456936, 39.497261436166475], [-0.386279191872985, 39.497277044899434], [-0.386333232631994, 39.497300320333686], [-0.386399715092774, 39.4973443606682], [-0.386434936764242, 39.49738139435432], [-0.386447394225534, 39.497400869572], [-0.386466637890396, 39.4974309539225], [-0.38648201286175, 39.49747140413482], [-0.386488793838565, 39.49751811582704], [-0.386485978945364, 39.49756611163711], [-0.386472163145281, 39.49760913309284], [-0.38643740755834, 39.49766822815293], [-0.386386807498515, 39.497715937346975], [-0.386330524309371, 39.49775248833069], [-0.386275787541642, 39.49777489245645], [-0.386212113703984, 39.497791580336774], [-0.386137645430712, 39.497797784168675], [-0.386067714453739, 39.49779148404692], [-0.386002201632199, 39.49777582856976], [-0.385934200817116, 39.497745148097295], [-0.385892470092656, 39.49771899726335], [-0.385848282045474, 39.49767703477729], [-0.385823103793443, 39.49764337905547], [-0.385802314230698, 39.497601154726574], [-0.385790846416736, 39.4975544132226], [-0.385789863310694, 39.49749924117372], [-0.385802780932862, 39.49745304832442], [-0.385823827743527, 39.49740703927338], [-0.385848435831795, 39.49737450279052], [-0.385889537238534, 39.49733603483723], [-0.385939576711751, 39.497303283131416], [-0.385994372240342, 39.497279303946044], [-0.386049888099173, 39.497263220016386], [-0.386109143426537, 39.4972558866291]]], ""type"": ""Polygon""}";Red viaria;Transito;107;2832.995;2671.266;2345.724;2345.724;2439.545;2345.739;2270.971;2179.08;2145.724;2519.649;2311.158;440.403
39.49711854842434, -0.3854662299986569;"{""coordinates"": [[[-0.385259043030908, 39.497094497981664], [-0.385889554807415, 39.49693283208558], [-0.385950895261224, 39.4970869613621], [-0.385162920645699, 39.497265542955134], [-0.38508663524002, 39.49727634113979], [-0.385022509442862, 39.49727119173593], [-0.384984704900173, 39.49725862499001], [-0.38495934751964, 39.49723552964492], [-0.384934314246568, 39.49718059466492], [-0.385259043030908, 39.497094497981664]]], ""type"": ""Polygon""}";Red viaria;Transito;112;1382.571;199.65;;;817.251;1055.028;1052.026;1055.865;1055.865;713.964;828.121;
39.49987451377, -0.3713392966813757;"{""coordinates"": [[[-0.371080367431182, 39.50003409936506], [-0.371213891922725, 39.49962733929987], [-0.371611486595823, 39.49972803533205], [-0.371449865334793, 39.50011986334052], [-0.371080367431182, 39.50003409936506]]], ""type"": ""Polygon""}";Zonas verdes;Jardines;121;1594.625;422.04;566.577;566.577;881.214;685.773;;;205.992;;;
39.5016980241512, -0.3703717513497194;"{""coordinates"": [[[-0.369950920087022, 39.5016866894047], [-0.370023393405513, 39.501517915005294], [-0.370548667028341, 39.501650028312106], [-0.370793671362862, 39.501711708159206], [-0.370725035086879, 39.50187714475817], [-0.369950920087022, 39.5016866894047]]], ""type"": ""Polygon""}";Zonas verdes;Jardines;122;1362.458;;;0.076;178.421;;;;;;;
39.48731901815235, -0.39463949696241796;"{""coordinates"": [[[-0.393715918227322, 39.48723894008018], [-0.395015833654501, 39.48665450333001], [-0.395563037944684, 39.48739908508602], [-0.394263242144167, 39.487983544005814], [-0.393715918227322, 39.48723894008018]]], ""type"": ""Polygon""}";Zonas verdes;Jardines;125;12304.75;2582.105;2179.956;2946.591;5366.417;5430.168;4602.919;7871.654;7594.375;5540.906;6599.198;700.0
