"barrio","metros_carril_bici","estaciones_valenbisi","Total_poblacion","X0_15_años","X16_64_años","X65_o_más","paradas_emt","paradas_metro","plazas_mob","paradas_taxis","plazas_parkings","superficie_zonas_verdes","amenity","monuments","shop","sport","distrito","superficie_barrio","RENTA_BRUTA","SALARIO","Precio_alquiler/m2","Precio_venta/m2","Cargadores","Hospitales","Universidad","Estadio","otros_servicios","indice_ricos","eco_friendly"
"L'ILLA PERDUDA",0.0302896474314991,8.65081363477179e-06,0.0363766713342154,0.00416969217196,0.0230587437434842,0.00914823541877116,2.59524409043154e-05,NA,0.000164365459060664,NA,NA,0.057657672875754,3.02778477217013e-05,NA,1.29762204521577e-05,0.000160040052243278,"ALGIROS",231192.126479414,16597,9832.83333333333,"9.4",2094,NA,NA,NA,NA,2.61065478060391,-0.0413043627691843,-1.71109952007323
"LA CARRASCA",0.0401523782210863,7.1426378967496e-06,0.00168209122468453,0.000156117656886098,0.00111323113505054,0.000412742432747887,8.6732031603388e-06,2.0407536847856e-06,1.07139568451244e-05,5.101884211964e-07,NA,0.186703452736823,3.16316821141768e-05,2.550942105982e-06,2.0407536847856e-06,0.000168872367416008,"ALGIROS",1960060.16297858,24233,13706,"9.4",2566,NA,NA,1,NA,-2.97379605878504,0.278408767772771,0.447683283528364
"LA CREU COBERTA",0.0259419280221884,2.67116083246795e-06,0.0161498383931012,0.0019499474077016,0.0105564276099133,0.00364346337548628,2.13692866597436e-05,NA,4.00674124870193e-05,NA,NA,0.0301841174068878,8.01348249740385e-06,2.67116083246795e-06,8.01348249740385e-06,3.20539299896154e-05,"JESUS",374369.071246105,15186.75,8792.25,"7.9",1545,1,NA,NA,NA,-3.27881165028688,-0.280070437453044,-2.40603974434783
"LA CREU DEL GRAU",0.0341560939499666,5.11390848724661e-06,0.0379733274720497,0.00497838991233457,0.0255567576650149,0.00743817989470019,4.09112678979729e-05,NA,8.4379490039569e-05,5.11390848724661e-06,NA,0.0626709485112072,9.97212155013089e-05,2.5569542436233e-06,1.53417254617398e-05,0.000115062940963049,"CAMINS AL GRAU",391090.299129859,13638.8,8336.8,"9.3",1856,NA,NA,NA,NA,0.204828060578112,-0.179920373416252,-1.26256661882586
"LA FONTETA S.LLUIS",0.050420283255503,8.38604274861951e-06,NA,NA,NA,NA,3.3544170994478e-05,NA,4.19302137430975e-05,NA,NA,0.213969880731027,NA,4.19302137430976e-06,NA,NA,"QUATRE CARRERES",238491.510233386,12565,7543.5,"8.8",1370,NA,NA,NA,NA,-1.12862790055013,-0.329697655316869,1.76060173068806
"LA FONTSANTA",0.051068140254416,9.29968111956965e-06,0.0113115121351032,0.00180413813719651,0.00755134106909056,0.00195603292881615,4.33985118913251e-05,NA,7.1297555250034e-05,6.19978741304644e-06,0.00149724866025071,0.00654077572076399,1.85993622391393e-05,NA,NA,8.05972363696037e-05,"L'OLIVERETA",322591.706256142,9314.5,4842,"8.6",1103,NA,1,NA,NA,0.259963069734702,-0.525142762647642,0.0180827006380833
"LA GRAN VIA",0.0374823241158963,1.2822992872207e-05,0.0257293351980833,0.00372721659485482,0.0156205424838268,0.00638157611940167,3.63318131379197e-05,NA,5.12919714888279e-05,6.41149643610348e-06,0.00126306479791239,0.234575282942239,0.000117544101328564,4.27433095740232e-06,1.06858273935058e-05,0.000138915756115575,"L'EIXAMPLE",467909.485702408,31251.4166666667,14661.9166666667,"10.8",3237,1,NA,NA,NA,0.276236124622494,0.61077442649909,0.585957300779973
"LA LLUM",0.0457844691432293,5.71508574110197e-06,0.028415406304759,0.00328045921539253,0.0184482967722772,0.0066866503170893,3.42905144466118e-05,NA,9.14413718576315e-05,5.71508574110197e-06,NA,0.0524644871033161,3.42905144466118e-05,9.71564575987334e-05,2.28603429644079e-05,2.28603429644079e-05,"L'OLIVERETA",174975.502608502,15773,9028.33333333333,"8.6",1322,1,NA,NA,NA,-0.705194189163519,-0.250619962151692,-0.134265859253903
"LA MALVA-ROSA",0.0311428322341151,8.24773464063416e-06,0.0177669950383661,0.00220077052660921,0.0113296381513511,0.00423658636040574,3.29909385625366e-05,NA,9.34743259271871e-05,2.74924488021139e-06,NA,0.123358617775085,7.28549893256017e-05,NA,4.12386732031708e-06,0.000116842907408984,"POBLATS MARITIMS",727472.483224638,13742.5,7585.9,"9.7",1820,1,1,NA,NA,-0.11370191991075,-0.183246167596691,-1.04837250801991
"LA PETXINA",0.0314453717543335,6.04861624915404e-06,0.0304346207603267,0.00425419342857168,0.0191559676610708,0.00702445967068423,3.02430812457702e-05,NA,7.25833949898485e-05,6.04861624915404e-06,NA,0.0150408924062297,2.62106704130008e-05,2.01620541638468e-06,8.06482166553872e-06,0.000207669157887622,"EXTRAMURS",495981.208994632,21010.25,11771,"9.4",2238,NA,NA,NA,NA,0.429140762280741,0.113713473551734,-1.96204556244537
"LA PUNTA",0.0232349311364844,1.61191351965613e-07,0.000485991926176324,8.31747376142565e-05,0.000318030537428155,8.47866511339126e-05,7.2536108384526e-06,3.22382703931227e-07,1.28953081572491e-06,1.61191351965613e-07,NA,0.0372996788448429,4.99693191093402e-06,NA,3.22382703931227e-07,6.28646272665892e-06,"QUATRE CARRERES",6203806.76634146,14957,8445,"9.7",1967,NA,NA,NA,NA,-5.38445816080494,-0.113184379818459,-2.62733476276797
