"","id_plaza","n_plazas","districto","latitud","longitud"
"1464",223665,1,"PATRAIX",39.465896695088,-0.391448060868741
"1465",223675,1,"LA SAIDIA",39.4843842675655,-0.383077953500159
"1466",223679,1,"QUATRE CARRERES",39.4538024632207,-0.361005760512352
"1467",223680,1,"BENIMACLET",39.4898827335395,-0.356881216535845
"1468",223683,1,"EXTRAMURS",39.4638425483674,-0.38646429971718
"1469",223685,1,"RASCANYA",39.4916165386918,-0.36026033486346
"1470",223691,1,"POBLATS DEL NORD",39.5174773697591,-0.376186335861756
"1471",223693,1,"POBLATS DEL NORD",39.5173836562132,-0.376809254081764
"1472",223696,1,"POBLATS MARITIMS",39.4636550622112,-0.331515991980073
"1473",223698,1,"QUATRE CARRERES",39.4398561059806,-0.3805944389979
"1474",223699,1,"QUATRE CARRERES",39.4594891013058,-0.365473240984712
"1475",223702,1,"QUATRE CARRERES",39.4497644447453,-0.372390693935889
"1476",223703,1,"QUATRE CARRERES",39.452439366327,-0.381442490732345
"1477",223704,1,"POBLATS DEL NORD",39.5165955269736,-0.376257546198296
"1478",223707,1,"JESUS",39.4463688122428,-0.391404017281881
"1479",223709,1,"QUATRE CARRERES",39.4505902386271,-0.372187108878018
"1480",223710,1,"POBLATS DEL SUD",39.4355579197663,-0.393165434327627
"1481",223711,1,"PATRAIX",39.4550317172997,-0.403612256773114
"1482",223715,1,"PATRAIX",39.4588784734226,-0.393084482401121
"1483",223721,1,"RASCANYA",39.4924828998785,-0.38211517938854
"1484",223722,1,"QUATRE CARRERES",39.4397784483881,-0.378611900518733
"1485",223726,1,"L'OLIVERETA",39.4648506903082,-0.406858603183394
"1486",223730,1,"POBLATS MARITIMS",39.4835224222641,-0.330284990093138
"1487",223732,1,"QUATRE CARRERES",39.4399827171809,-0.373386689650696
"1488",223734,1,"POBLATS MARITIMS",39.4639393938969,-0.33061956478828
"1489",223735,1,"QUATRE CARRERES",39.4388441239794,-0.370559929892531
"1490",223737,1,"QUATRE CARRERES",39.4571869043917,-0.359042983929317
"1491",223742,1,"BENIMACLET",39.4865910558066,-0.365039335053491
"1492",223745,1,"PATRAIX",39.4600084412556,-0.400509455370135
"1493",223749,1,"L'OLIVERETA",39.465431262533,-0.396077412631756
"1494",223752,1,"BENIMACLET",39.4878808954912,-0.362776334922991
"1495",223762,1,"JESUS",39.458607496652,-0.385640060608217
"1496",223773,1,"CAMPANAR",39.4815051633337,-0.403389892108324
"1497",223774,1,"POBLATS MARITIMS",39.4661818785491,-0.327192905256351
"1498",223779,1,"RASCANYA",39.4961978307152,-0.379027826137585
"1499",223780,1,"CAMPANAR",39.4822838788318,-0.403190427623043
