"barrio","otros_servicios","indice_ricos","eco_friendly","Universidad","Estadio","Hospitales","Cargadores","paradas_metro","paradas_emt","estaciones_valenbisi","Distrito"
"SANT FRANCESC",9.24105938528649,0.75019114901192,0.74314203264685,NA,NA,NA,1,2.28286829504628e-06,5.93545756712033e-05,1.36972097702777e-05,"CIUTAT VELLA"
"SANT ISIDRE",-3.58273271590845,-0.225401075235871,-1.4771853804459,NA,NA,NA,NA,4.04412590184123e-06,2.02206295092062e-05,8.08825180368247e-06,"PATRAIX"
"SANT LLORENS",-0.0630829905750063,0.0968838325030792,-2.10646588949593,NA,1,NA,NA,1.30720019520262e-06,5.88240087841181e-06,2.61440039040525e-06,"RASCANYA"
"SANT MARCEL.LI",-0.816405832141461,-0.423935190038805,0.916600439761026,NA,NA,NA,NA,NA,2.72742098768788e-05,6.0609355281953e-06,"JESUS"
"SANT PAU",-3.74619582590397,0.400319472599683,-1.37463065564039,NA,NA,1,NA,NA,6.16562570603464e-06,2.82591178193254e-06,"CAMPANAR"
"SOTERNES",-1.23219868544389,-0.25218547875042,-0.485319112125677,NA,NA,NA,NA,4.46374313316715e-06,2.23187156658357e-05,4.46374313316715e-06,"L'OLIVERETA"
"TORMOS",3.44116692568058,-0.30382758220419,2.26799944543879,NA,NA,NA,NA,NA,2.14623259330229e-05,7.15410864434095e-06,"LA SAIDIA"
"TORREFIEL",-1.53176706710079,-0.513992026843007,0.810559099034943,NA,NA,NA,NA,1.43001328761562e-06,4.00403720532374e-05,8.58007972569374e-06,"RASCANYA"
"TRES FORQUES",-0.275122415290796,-0.413328793976559,1.01568738305408,NA,NA,NA,1,1.90101349715084e-06,2.09111484686592e-05,5.70304049145251e-06,"L'OLIVERETA"
"TRINITAT",0.25969872168805,0.0102286356805299,1.85548148659134,NA,NA,NA,1,1.68112300788447e-06,1.84923530867292e-05,6.72449203153789e-06,"LA SAIDIA"
"VARA DE QUART",-2.67114219018724,-0.288938172765163,-1.82408957304834,NA,NA,NA,NA,NA,1.35501345349486e-05,3.87146700998532e-06,"PATRAIX"
