"","station","wday","hour","mean.day"
"27856","166","6",15,10.5322103822104
"27857","166","6",16,10.9017046343969
"27858","166","6",17,10.475468975469
"27859","166","6",18,8.2762996380191
"27860","166","6",19,7.2731795981796
"27861","166","6",20,7.84191036883345
"27862","166","6",21,7.94444906944907
"27863","166","6",22,7.75445850445851
"27864","166","6",23,8.19735549350934
"27865","166","7",0,8.26573981573981
"27866","166","7",1,8.6212148962149
"27867","166","7",2,9.0460927960928
"27868","166","7",3,9.61578296703297
"27869","166","7",4,10.0500667388167
"27870","166","7",5,10.4597718253968
"27871","166","7",6,10.6323511904762
"27872","166","7",7,9.91029761904762
"27873","166","7",8,8.8484154040404
"27874","166","7",9,8.30858134920635
"27875","166","7",10,7.88389880952381
"27876","166","7",11,7.69543650793651
"27877","166","7",12,7.8311056998557
"27878","166","7",13,8.98627525252525
"27879","166","7",14,10.2172222222222
"27880","166","7",15,10.8947826479077
"27881","166","7",16,11.1591053391053
"27882","166","7",17,10.7321216283716
"27883","166","7",18,9.19637650747945
"27884","166","7",19,7.78790407509158
"27885","166","7",20,7.38289862914863
"27886","166","7",21,7.70471583971583
"27887","166","7",22,7.58125992063492
"27888","166","7",23,7.99398809523809
"27889","167","1",0,10.0419834307992
"27890","167","1",1,10.3487836237836
"27891","167","1",2,9.29105524105524
"27892","167","1",3,8.49861111111111
"27893","167","1",4,8.14992877492878
"27894","167","1",5,8.7280701754386
"27895","167","1",6,8.44563214563215
"27896","167","1",7,8.82661782661783
"27897","167","1",8,10.0195659041813
"27898","167","1",9,12.510335960336
"27899","167","1",10,14.6172639745038
"27900","167","1",11,16.0693545840847
"27901","167","1",12,16.1024583271403
"27902","167","1",13,16.1101734636457
"27903","167","1",14,16.6722105376966
"27904","167","1",15,16.3583443916932
"27905","167","1",16,13.3759472259907
"27906","167","1",17,8.6674410601184
"27907","167","1",18,6.92964320175859
"27908","167","1",19,6.76785596881751
"27909","167","1",20,6.61353258355521
"27910","167","1",21,6.60372405372405
"27911","167","1",22,6.73336385836386
"27912","167","1",23,6.91076516076516
"27913","167","2",0,6.85958485958486
"27914","167","2",1,6.78315018315018
"27915","167","2",2,6.77228327228327
"27916","167","2",3,6.76495726495726
"27917","167","2",4,6.7760989010989
"27918","167","2",5,6.65084586466165
"27919","167","2",6,6.93906734291349
"27920","167","2",7,7.92934433621934
"27921","167","2",8,8.50056277056277
"27922","167","2",9,8.96005314130314
"27923","167","2",10,10.2735255716506
"27924","167","2",11,11.7109638727286
"27925","167","2",12,12.4526566074176
"27926","167","2",13,13.3642200503172
"27927","167","2",14,13.29186237977
"27928","167","2",15,13.250855862275
"27929","167","2",16,10.6599042598606
"27930","167","2",17,8.19454455266955
"27931","167","2",18,7.19727508602508
"27932","167","2",19,6.04478055237246
"27933","167","2",20,5.54800192046516
"27934","167","2",21,5.59988095238095
"27935","167","2",22,5.81344246031746
"27936","167","2",23,6.08055555555556
"27937","167","3",0,6.19013798701298
"27938","167","3",1,6.325
"27939","167","3",2,6.38333333333333
"27940","167","3",3,6.39241071428571
"27941","167","3",4,6.43854166666667
"27942","167","3",5,6.58958333333333
"27943","167","3",6,6.40827380952381
"27944","167","3",7,7.0422428062134
"27945","167","3",8,8.41381766381766
"27946","167","3",9,9.82449002386502
"27947","167","3",10,11.1566755140284
"27948","167","3",11,12.2909369372205
"27949","167","3",12,12.7126069142845
"27950","167","3",13,13.0384624907256
"27951","167","3",14,12.6632028314822
"27952","167","3",15,12.423687484722
"27953","167","3",16,9.94359885498935
"27954","167","3",17,8.19317789999855
"27955","167","3",18,7.81154842598922
"27956","167","3",19,7.39392448646125
"27957","167","3",20,7.44946317571318
"27958","167","3",21,7.29854888167388
"27959","167","3",22,7.37748015873016
"27960","167","3",23,7.13583333333333
"27961","167","4",0,6.83988095238095
"27962","167","4",1,6.89166666666667
"27963","167","4",2,7.06785714285714
"27964","167","4",3,7.23095238095238
"27965","167","4",4,7.28392857142857
"27966","167","4",5,7.41641865079365
"27967","167","4",6,7.65803571428572
"27968","167","4",7,8.47408071095571
"27969","167","4",8,9.42135732323232
"27970","167","4",9,10.9005358996439
"27971","167","4",10,12.1363452907387
"27972","167","4",11,12.7946121811195
"27973","167","4",12,13.7606630216189
"27974","167","4",13,13.793780107426
"27975","167","4",14,12.3192059052059
"27976","167","4",15,12.4849878712721
"27977","167","4",16,10.3417947811554
"27978","167","4",17,7.87499927156177
"27979","167","4",18,6.68601915993363
"27980","167","4",19,6.33464119214119
"27981","167","4",20,6.24350378787879
"27982","167","4",21,6.17628968253968
"27983","167","4",22,6.80330898268398
"27984","167","4",23,6.77160714285714
"27985","167","5",0,6.76785714285714
"27986","167","5",1,6.73154761904762
"27987","167","5",2,6.77714285714286
"27988","167","5",3,7.11370573870574
"27989","167","5",4,7.26928164428165
"27990","167","5",5,7.50854700854701
"27991","167","5",6,7.40220797720798
"27992","167","5",7,8.21495954188262
"27993","167","5",8,9.11343008843009
"27994","167","5",9,10.4874125358646
"27995","167","5",10,12.5185030016921
"27996","167","5",11,13.753553318027
"27997","167","5",12,13.8781583002029
"27998","167","5",13,14.7463315356927
"27999","167","5",14,14.5847820885549
"28000","167","5",15,14.1740821258383
"28001","167","5",16,12.3431563885369
"28002","167","5",17,8.32279689026846
"28003","167","5",18,6.00663139376782
"28004","167","5",19,5.75188605254395
"28005","167","5",20,5.83210345940609
"28006","167","5",21,5.86429141034404
"28007","167","5",22,5.89440267335004
"28008","167","5",23,6.66065162907268
"28009","167","6",0,7.15878237259816
"28010","167","6",1,7.54904306220096
"28011","167","6",2,7.50125313283208
"28012","167","6",3,6.95482295482295
"28013","167","6",4,6.33233618233618
"28014","167","6",5,6.30228937728938
"28015","167","6",6,6.41407203907204
"28016","167","6",7,6.77129238283084
"28017","167","6",8,7.71070669096985
"28018","167","6",9,9.21170783121248
"28019","167","6",10,11.2610586706741
"28020","167","6",11,13.2783328345644
"28021","167","6",12,14.6931218178063
"28022","167","6",13,15.3452060641897
"28023","167","6",14,15.314691971257
"28024","167","6",15,15.4123930563273
"28025","167","6",16,13.1982946105007
"28026","167","6",17,8.31490116077637
"28027","167","6",18,5.45312905043674
"28028","167","6",19,5.28341675381149
"28029","167","6",20,5.58106366567905
"28030","167","6",21,6.25720426297349
"28031","167","6",22,6.8044206505745
"28032","167","6",23,7.34824897324897
"28033","167","7",0,7.41157740726706
"28034","167","7",1,7.46086087115499
"28035","167","7",2,7.003663003663
"28036","167","7",3,6.75442612942613
"28037","167","7",4,6.48577142230989
"28038","167","7",5,6.87912087912088
"28039","167","7",6,7.05637973137973
"28040","167","7",7,7.55430402930403
"28041","167","7",8,8.61600899100899
"28042","167","7",9,10.5871909597023
"28043","167","7",10,12.0038749083998
"28044","167","7",11,14.0030813591602
"28045","167","7",12,15.1210171815804
"28046","167","7",13,16.0094033118159
"28047","167","7",14,16.108434394061
"28048","167","7",15,16.0710044945073
"28049","167","7",16,13.1318716593994
"28050","167","7",17,8.77444837857317
"28051","167","7",18,6.75013971071663
"28052","167","7",19,6.69895452712195
"28053","167","7",20,7.32567332951948
"28054","167","7",21,7.75622618122618
"28055","167","7",22,8.23220113220113
"28056","167","7",23,9.2745781995782
"28057","168","1",0,9.58824786324786
"28058","168","1",1,10.1568154761905
"28059","168","1",2,10.2581845238095
"28060","168","1",3,10.6651488095238
"28061","168","1",4,11.0336944444444
"28062","168","1",5,11.0715277777778
"28063","168","1",6,10.8622023809524
"28064","168","1",7,10.6162202380952
"28065","168","1",8,9.79611111111111
"28066","168","1",9,9.24106908369408
"28067","168","1",10,9.21453776486671
"28068","168","1",11,9.2828219003219
"28069","168","1",12,9.72584851975981
"28070","168","1",13,10.3808919938757
"28071","168","1",14,10.9428664529915
"28072","168","1",15,11.3760028860029
"28073","168","1",16,11.0136018842269
"28074","168","1",17,10.118777683669
"28075","168","1",18,9.2518262987013
"28076","168","1",19,8.53616355866356
"28077","168","1",20,8.3415376984127
"28078","168","1",21,8.92225198412698
"28079","168","1",22,9.21898809523809
"28080","168","1",23,9.72410714285714
"28081","168","2",0,10.1522817460317
"28082","168","2",1,10.5411904761905
"28083","168","2",2,10.5979166666667
"28084","168","2",3,10.6365079365079
"28085","168","2",4,10.6717424242424
"28086","168","2",5,10.0088825757576
"28087","168","2",6,8.45351558164058
"28088","168","2",7,6.64978469447219
"28089","168","2",8,6.31955933559194
"28090","168","2",9,5.51447129259629
"28091","168","2",10,5.01233447108447
"28092","168","2",11,4.38596683871684
"28093","168","2",12,5.13533369408369
"28094","168","2",13,6.95760767010767
"28095","168","2",14,8.30079045341913
"28096","168","2",15,8.29091151903652
"28097","168","2",16,7.96576874514375
"28098","168","2",17,8.29921122736912
"28099","168","2",18,9.35356927794428
"28100","168","2",19,10.4975938644689
"28101","168","2",20,10.8816558441558
"28102","168","2",21,11.4564335582718
"28103","168","2",22,11.6676587301587
"28104","168","2",23,11.6079613095238
"28105","168","3",0,11.881994047619
"28106","168","3",1,11.9692857142857
"28107","168","3",2,11.9910714285714
"28108","168","3",3,12.0970238095238
"28109","168","3",4,12.0925793650794
"28110","168","3",5,11.4325658369408
"28111","168","3",6,9.95169642857143
"28112","168","3",7,7.08846959168283
"28113","168","3",8,5.93598346098346
"28114","168","3",9,5.41693500943501
"28115","168","3",10,6.08899433899434
"28116","168","3",11,6.08857406482407
"28117","168","3",12,6.38606366672543
"28118","168","3",13,8.01149432073774
"28119","168","3",14,8.95511030636031
"28120","168","3",15,8.45738906926407
"28121","168","3",16,7.5818253968254
"28122","168","3",17,7.49672061190443
"28123","168","3",18,8.33862675518926
"28124","168","3",19,9.32630661005661
"28125","168","3",20,9.62523441835942
"28126","168","3",21,9.71474927849928
"28127","168","3",22,9.40089285714286
"28128","168","3",23,9.51646825396826
"28129","168","4",0,9.79280753968254
"28130","168","4",1,10.038244047619
"28131","168","4",2,10.15
"28132","168","4",3,10.2583333333333
"28133","168","4",4,10.310404040404
"28134","168","4",5,9.48186507936508
"28135","168","4",6,8.24504405316906
"28136","168","4",7,6.13664422179128
"28137","168","4",8,5.56206786269286
"28138","168","4",9,5.07373966311466
"28139","168","4",10,4.42379821567322
"28140","168","4",11,3.6640011642769
"28141","168","4",12,4.44410069097569
"28142","168","4",13,6.78081536519037
"28143","168","4",14,7.59677725052725
"28144","168","4",15,7.17885732323232
"28145","168","4",16,7.09211129148629
"28146","168","4",17,7.81391788766789
"28147","168","4",18,9.02880064380065
"28148","168","4",19,9.60715742590743
"28149","168","4",20,10.0171652652903
"28150","168","4",21,10.3281295093795
"28151","168","4",22,10.02125
