Direccion;Numero;Activo;Bicis_disponibles;Espacios_libres;Espacios_totales;ticket;fecha_actualizacion;geo_shape;geo_point_2d
Alcudia de Crespins - Pedro Patricio Mey;177;T;5;10;15;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3734883620528129, 39.493545396079504], ""type"": ""Point""}";39.493545396079504, -0.3734883620528129
Av. de la Plata - Zapadores;179;T;0;23;23;F;23/01/2024 17:44:30;"{""coordinates"": [-0.36642636792637634, 39.45547226612543], ""type"": ""Point""}";39.45547226612543, -0.36642636792637634
Vicente la Roda - Ingeniero Fausto Elio;272;T;13;1;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.33219023115385166, 39.48062333339468], ""type"": ""Point""}";39.48062333339468, -0.33219023115385166
Malvarrosa - Río Tajo;168;T;9;6;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.32788721869941045, 39.47687131828106], ""type"": ""Point""}";39.47687131828106, -0.32788721869941045
Cra. Malilla - Bulevar Sur;190;T;13;5;18;T;23/01/2024 17:44:30;"{""coordinates"": [-0.38029642271654757, 39.44608224133691], ""type"": ""Point""}";39.44608224133691, -0.38029642271654757
Molinell - Calderón de la Barca;77;T;1;19;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.36566734195835493, 39.48497336307338], ""type"": ""Point""}";39.48497336307338, -0.36566734195835493
Menorca - Baleares;62;T;12;8;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3421522812931475, 39.45981126842254], ""type"": ""Point""}";39.45981126842254, -0.3421522812931475
Guillem de Anglesola - Av. Puerto;66;T;0;25;25;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3462612916525901, 39.46427128532339], ""type"": ""Point""}";39.46427128532339, -0.3462612916525901
Aragón - Vicente Sancho Tello;78;T;2;18;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.358688329939162, 39.46994531050937], ""type"": ""Point""}";39.46994531050937, -0.358688329939162
Amadeo de Saboya (frente Ayuntamiento);80;T;5;20;25;F;23/01/2024 17:44:30;"{""coordinates"": [-0.36229833944736023, 39.47374232444908], ""type"": ""Point""}";39.47374232444908, -0.36229833944736023
Blasco Ibañez - Jaime Roig;85;T;12;11;23;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3647153422684407, 39.479464345022826], ""type"": ""Point""}";39.479464345022826, -0.3647153422684407
Manuel Broseta i Pont - Naranjos;112;T;33;7;40;T;23/01/2024 17:44:30;"{""coordinates"": [-0.34227526701990957, 39.47858033137406], ""type"": ""Point""}";39.47858033137406, -0.34227526701990957
UPV Informática;114;T;20;10;30;F;23/01/2024 17:44:30;"{""coordinates"": [-0.346591279156021, 39.4818043438759], ""type"": ""Point""}";39.4818043438759, -0.346591279156021
Gómez Ferrer - Álvaro de Bazán;118;T;10;10;20;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3604163266878076, 39.480466345728246], ""type"": ""Point""}";39.480466345728246, -0.3604163266878076
Cataluña - Doctor Vicente Zaragozá;115;T;16;0;16;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3521482985209469, 39.481562345598135], ""type"": ""Point""}";39.481562345598135, -0.3521482985209469
Doctor Vicente Zaragozá - Emilio Baró;120;T;16;1;18;T;23/01/2024 17:44:30;"{""coordinates"": [-0.36204632906281087, 39.484880361257815], ""type"": ""Point""}";39.484880361257815, -0.36204632906281087
Pio XII - Menéndez PIdal (Nuevo Centro);143;T;4;26;30;T;23/01/2024 17:44:30;"{""coordinates"": [-0.39093643241708165, 39.4795373575288], ""type"": ""Point""}";39.4795373575288, -0.39093643241708165
