"stop_id";"neighbours_in";"neighbours_out";"betweenness";"closeness";"pagerank";"eigenvector";"metros_in_Afternoon";"metros_in_Evening";"metros_in_Mid_morning";"metros_in_Midday";"metros_in_Morning";"metros_in_Night";"stop_name";"lines";"n_lines";"people_Afternoon";"people_Evening";"people_Mid_morning";"people_Midday";"people_Morning";"people_Night";"capacidad_hora";"metros_hora";"stop_lat";"stop_lon";"barrio";"geometry"
"1";1;1;0;0,020573108008817;0,00292099720563191;4,2607364276987e-08;24;24;24;24;20;16;"Rafelbunyol";<chr>;1;15366,1935483871;15366,1935483871;15366,1935483871;15366,1935483871;12805,1612903226;10244,1290322581;4448,10865874363;6,94736842105263;39,5885238647;-0,3310583234;NA;c(-0.3310583234, 39.5885238647)
"10";2;2;0,119908814589666;0,0366013071895425;0,00622853924699672;0,000467632884922517;48;48;48;48;38;22;"Alboraia Palmaret";<chr>;2;30732,3870967742;30732,3870967742;30732,3870967742;30732,3870967742;24329,8064516129;14085,6774193548;8067,25161290323;12,6;39,4956626892;-0,3552222252;NA;c(-0.3552222252, 39.4956626892)
"100";2;2;0,0895390070921986;0,0423472474289171;0,00419944998870494;0,000324850487505884;36;36;36;36;33;32;"Palau de Congressos";<chr>;1;8544,52173913043;8544,52173913043;8544,52173913043;8544,52173913043;7832,47826086956;7595,13043478261;2610,82608695652;11;39,4971809387;-0,4001416564;"BENIFERRI";c(-0.4001416564, 39.4971809387)
"101";2;2;0,113677811550152;0,0392817059483726;0,00793356644795262;0,000994612460953395;54;54;54;54;50;37;"La Granja";<chr>;1;12816,7826086957;12816,7826086957;12816,7826086957;12816,7826086957;11867,3913043478;8781,86956521739;3785,07322654462;15,9473684210526;39,504032135;-0,4124779999;NA;c(-0.4124779999, 39.504032135)
"102";2;2;0,101063829787234;0,0380331431676175;0,00639965909948609;0,000191185039481922;54;54;54;54;50;37;"Sant Joan";<chr>;1;12816,7826086957;12816,7826086957;12816,7826086957;12816,7826086957;11867,3913043478;8781,86956521739;3785,07322654462;15,9473684210526;39,5052909851;-0,4163239896;NA;c(-0.4163239896, 39.5052909851)
"103";2;2;0,0882472137791287;0,0367647058823529;0,00622566700943743;2,45208127137181e-05;54;54;54;54;50;37;"Campus";<chr>;1;12816,7826086957;12816,7826086957;12816,7826086957;12816,7826086957;11867,3913043478;8781,86956521739;3785,07322654462;15,9473684210526;39,5072212219;-0,4174583256;NA;c(-0.4174583256, 39.5072212219)
"104";2;2;0,0752279635258359;0,0355600711201422;0,00864520187288775;3,30888731018326e-06;54;54;54;54;49;38;"Vicent Andrés Estellés";<chr>;1;12816,7826086957;12816,7826086957;12816,7826086957;12816,7826086957;11630,0434782609;9019,21739130435;3785,07322654462;15,9473684210526;39,5085601807;-0,4198839962;NA;c(-0.4198839962, 39.5085601807)
"105";3;2;0,0622087132725431;0,0333412717313646;0,00872286241006975;8,62292588195574e-07;36;36;36;36;33;23;"À Punt";<chr>;1;8544,52173913043;8544,52173913043;8544,52173913043;8544,52173913043;7832,47826086956;5459;2498,39816933638;10,5263157894737;39,5122032166;-0,424748987;NA;c(-0.424748987, 39.5122032166)
"107";1;1;0;0,0230301036354664;0,00365127185793224;6,17616690846423e-09;10;12;10;14;15;9;"Bétera";<chr>;1;6402,58064516129;7683,09677419355;6402,58064516129;8963,61290322581;9603,87096774194;5762,32258064516;2489,89247311828;3,88888888888889;39,5906066895;-0,4575305581;NA;c(-0.4575305581, 39.5906066895)
"108";2;2;0,0946808510638298;0,0225333977144697;0,00667842382674675;7,5685155489744e-09;12;14;12;14;20;10;"El Clot";<chr>;1;7683,09677419355;8963,61290322581;7683,09677419355;8963,61290322581;12805,1612903226;6402,58064516129;2763,21901528014;4,31578947368421;39,5498657227;-0,5279861093;NA;c(-0.5279861093, 39.5498657227)
"109";3;3;0,16000506585613;0,0451176281018369;0,0090155122093812;0,586797601411108;24;24;24;24;19;15;"Bailén";<chr>;1;15366,1935483871;15366,1935483871;15366,1935483871;15366,1935483871;12164,9032258065;9603,87096774194;4624,08602150538;7,22222222222222;39,4639778137;-0,3794222176;"LA ROQUETA";c(-0.3794222176, 39.4639778137)
"11";2;2;0,132218844984802;0,0390734021769467;0,00560835325143099;0,00157941682828901;48;48;48;48;48;51;"Machado";<chr>;2;30732,3870967742;30732,3870967742;30732,3870967742;30732,3870967742;30732,3870967742;32653,1612903226;8872,14746543779;13,8571428571429;39,4924316406;-0,3587944508;"SANT LLORENS";c(-0.3587944508, 39.4924316406)
"110";1;1;0;0,0287061718269428;0,00407804640157575;7,38219931751418e-10;18;18;18;18;17;13;"Mas del Rosari";<chr>;1;4272,26086956522;4272,26086956522;4272,26086956522;4272,26086956522;4034,91304347826;3085,52173913043;1344,97101449275;5,66666666666667;39,5249595642;-0,4358249903;NA;c(-0.4358249903, 39.5249595642)
