Código Sección;Código Distrito Sección;OBJECTID;Area;Código Distrito;geo_shape;geo_point_2d
4;1004;412;34520.568469;10;"{""coordinates"": [[[-0.3667435682096799, 39.45780090418862], [-0.36575514772976403, 39.458548748016185], [-0.3647698820808864, 39.457152579263834], [-0.36552122488221944, 39.45683628753542], [-0.36736499737044065, 39.45622945160236], [-0.367960665415004, 39.457094265881146], [-0.3667435682096799, 39.45780090418862]]], ""type"": ""Polygon""}";39.45727795009892, -0.3663453537264036
44;1044;419;26786.025126;10;"{""coordinates"": [[[-0.36552122488221944, 39.45683628753542], [-0.3647698820808864, 39.457152579263834], [-0.3641965096978805, 39.45633328965984], [-0.3667558827856209, 39.4552787370364], [-0.36736499737044065, 39.45622945160236], [-0.36552122488221944, 39.45683628753542]]], ""type"": ""Polygon""}";39.45622515480131, -0.365797101950933
15;1015;421;9575.817563;10;"{""coordinates"": [[[-0.37266937745224993, 39.457115242425836], [-0.3717195448852214, 39.45707124430256], [-0.3717219464120699, 39.45694967971688], [-0.37153780083451876, 39.455995086032864], [-0.3726966510341896, 39.45625552674666], [-0.3726922350496694, 39.456777928832146], [-0.37266937745224993, 39.457115242425836]]], ""type"": ""Polygon""}";39.456591627350775, -0.3721463019050305
30;0230;369;22511.485501;2;"{""coordinates"": [[[-0.37863090063630045, 39.46156958366961], [-0.37717643189159356, 39.462176384508744], [-0.37640617149626365, 39.461082445975094], [-0.3780925749162049, 39.46037278149007], [-0.3787261814880606, 39.46131498162627], [-0.37863090063630045, 39.46156958366961]]], ""type"": ""Polygon""}";39.4612751612549, -0.3776176412548488
17;1017;437;44893.177376;10;"{""coordinates"": [[[-0.37150276512026414, 39.454899732421254], [-0.3715037731385753, 39.45357997354307], [-0.3713483196177409, 39.45317556564061], [-0.37112737581154287, 39.45229221821282], [-0.3716043451356787, 39.45088863102887], [-0.3721082049145765, 39.451607216447805], [-0.37237916046093705, 39.4519917037169], [-0.37341956491089273, 39.45348816175749], [-0.37354212320229085, 39.45366660329416], [-0.37150276512026414, 39.454899732421254]]], ""type"": ""Polygon""}";39.453039919350026, -0.37210527563808704
23;1023;443;38130.9432505;10;"{""coordinates"": [[[-0.3781742450004736, 39.45407749775134], [-0.37715885800216015, 39.45419422445796], [-0.3766379633512285, 39.45344374509622], [-0.37545253425702674, 39.453930475572655], [-0.37473085687952074, 39.45291871139341], [-0.37578627123245667, 39.4524515746403], [-0.37630735546601024, 39.4526164888271], [-0.3776811211427335, 39.452742085104774], [-0.3784388495302745, 39.4528717891295], [-0.3781742450004736, 39.45407749775134]]], ""type"": ""Polygon""}";39.45326838199116, -0.3767166819214219
19;0919;451;27934.500531;9;"{""coordinates"": [[[-0.392564427695973, 39.453104016002136], [-0.39089818626782874, 39.452426995526885], [-0.39184867165682336, 39.45105196722334], [-0.39349926184791073, 39.451719623092195], [-0.392564427695973, 39.453104016002136]]], ""type"": ""Polygon""}";39.45207694356139, -0.3922020558300795
22;0922;452;19782.923813;9;"{""coordinates"": [[[-0.39089818626782874, 39.452426995526885], [-0.3905180636892453, 39.45301754045617], [-0.3886669431519654, 39.452255257618646], [-0.3887956064973338, 39.45159150338719], [-0.38885690732096845, 39.45127306684714], [-0.3901297544674605, 39.45143678819976], [-0.3900082311371026, 39.45206467805659], [-0.39089818626782874, 39.452426995526885]]], ""type"": ""Polygon""}";39.452105946621025, -0.3896658406911716
2;1302;273;45839.743038;13;"{""coordinates"": [[[-0.33848083681675945, 39.468814410072206], [-0.3349802995066727, 39.46854502895326], [-0.3352623641165402, 39.46690290625275], [-0.3390702676549036, 39.46804414713612], [-0.3387565001137917, 39.46867207886738], [-0.3386762911994794, 39.46883239946263], [-0.33848083681675945, 39.468814410072206]]], ""type"": ""Polygon""}";39.468032684915876, -0.33679574186272293
50;1050;455;26165.064782;10;"{""coordinates"": [[[-0.3734256145281046, 39.4510289009196], [-0.3721082049145765, 39.451607216447805], [-0.3716043451356787, 39.45088863102887], [-0.3709846741905106, 39.450005265237266], [-0.37222753257854063, 39.44949735615748], [-0.3723204855542444, 39.449458918014265], [-0.3732826333087396, 39.45081397143258], [-0.3734256145281046, 39.4510289009196]]], ""type"": ""Polygon""}";39.450526150639256, -0.3722097989573554
38;1238;303;38709.036188;12;"{""coordinates"": [[[-0.33929405805379165, 39.467089848451685], [-0.3372783089468268, 39.46649866833049], [-0.3381529278766116, 39.46480253819777], [-0.33908338334877974, 39.465089595638574], [-0.33915598582366985, 39.464938109215844], [-0.34019154196594975, 39.46525008608283], [-0.33929405805379165, 39.467089848451685]]], ""type"": ""Polygon""}";39.465916540292355, -0.3387482275922326
53;0253;334;26372.858063;2;"{""coordinates"": [[[-0.36458149623594854, 39.46447241074173], [-0.3637321525642164, 39.46324597844384], [-0.36332988655117415, 39.46266479459983], [-0.36501321024036687, 39.463022785103206], [-0.36668716395206996, 39.46339856563057], [-0.3665031338858257, 39.46365565054045], [-0.36566690346121433, 39.464006049561824], [-0.36458149623594854, 39.46447241074173]]], ""type"": ""Polygon""}";39.463528646061576, -0.3649316338929773
4;1104;355;69027.6067905;11;"{""coordinates"": [[[-0.33775246540844217, 39.46237002887816], [-0.33436506853729114, 39.46182846647152], [-0.33254716753997515, 39.461539032347254], [-0.33185896318469477, 39.46107280586561], [-0.33305055124789434, 39.46005513312087], [-0.33537598410683156, 39.460748077591475], [-0.33859954252973284, 39.46171827843422], [-0.3385419512376385, 39.46176200331785], [-0.33775246540844217, 39.46237002887816]]], ""type"": ""Polygon""}";39.46130365075766, -0.3349828962543926
45;1045;362;14364.468469;10;"{""coordinates"": [[[-0.3591539043089576, 39.462223129158204], [-0.35896952521606645, 39.46191264064134], [-0.36157226692421385, 39.46096728824994], [-0.3611326726568434, 39.460317683585195], [-0.36151561530268445, 39.46015972454874], [-0.36219156783706247, 39.461148008886035], [-0.3591539043089576, 39.462223129158204]]], ""type"": ""Polygon""}";39.461315215245286, -0.36079579347405405
37;0337;364;33962.118625;3;"{""coordinates"": [[[-0.38455770733146083, 39.46260851052963], [-0.38236685742165993, 39.46220333719502], [-0.3823929049220446, 39.46210933131015], [-0.38282543726172624, 39.460569565010246], [-0.383844482829139, 39.460880790987225], [-0.38523847726203436, 39.4617319649456], [-0.38455770733146083, 39.46260851052963]]], ""type"": ""Polygon""}";39.46168479835476, -0.3836853694184303
19;1319;233;22436.188501;13;"{""coordinates"": [[[-0.3520746798578992, 39.47154819925029], [-0.3491083036701604, 39.4706743037108], [-0.3493938605877272, 39.46996462094234], [-0.35116147556943866, 39.4704958842552], [-0.35240402962319456, 39.4708710463956], [-0.3520746798578992, 39.47154819925029]]], ""type"": ""Polygon""}";39.47076150254547, -0.35073963712310474
23;1223;252;51303.874662;12;"{""coordinates"": [[[-0.3493938605877272, 39.46996462094234], [-0.3483563963597515, 39.469661690436425], [-0.3487484449349822, 39.4687112115157], [-0.34985054953798694, 39.4690336210599], [-0.35032343960366386, 39.46782823024301], [-0.3520993516773485, 39.46835066832719], [-0.35158323102712713, 39.46952805509036], [-0.35116147556943866, 39.4704958842552], [-0.3493938605877272, 39.46996462094234]]], ""type"": ""Polygon""}";39.4691996621135, -0.35040285466989146
15;1315;182;45416.999974;13;"{""coordinates"": [[[-0.3525380336296802, 39.475324399975754], [-0.352469031319177, 39.47530481038996], [-0.35058965978967055, 39.474766495605856], [-0.3494369931084445, 39.47443392128128], [-0.35010139145729446, 39.47308425618885], [-0.3524316099883627, 39.47376346910422], [-0.3531873761947933, 39.47398788694287], [-0.3531684076513454, 39.4740279943202], [-0.3525380336296802, 39.475324399975754]]], ""type"": ""Polygon""}";39.474206809917405, -0.3513133743163688
24;0124;178;72576.2698455;1;"{""coordinates"": [[[-0.3791703866505453, 39.476549786315786], [-0.37916727410148504, 39.476148824800056], [-0.3792689106866017, 39.475628615923185], [-0.3791034041309429, 39.475624883258355], [-0.37901564741285065, 39.47525354341068], [-0.37923096564512787, 39.47522686879858], [-0.3794324291987817, 39.474911599892295], [-0.3785454926300922, 39.474211440412354], [-0.3777426859761293, 39.4733419965864], [-0.3786864963124567, 39.47322365354311], [-0.37868675714218475, 39.472926369125254], [-0.37976962938638065, 39.47303187847755], [-0.38045857166017055, 39.47314200278964], [-0.3806528706515785, 39.47319142644164], [-0.38104918806153104, 39.47345260514548], [-0.38116064627623725, 39.473599257778325], [-0.3812230143954508, 39.47377633486351], [-0.38121457168496037, 39.47400136459359], [-0.38130847260947465, 39.474422380792745], [-0.3812487668983601, 39.474677786103506], [-0.38099243445441006, 39.475099927259194], [-0.3808075781341048, 39.475379538059435], [-0.38106431137692925, 39.47543036826383], [-0.3811295209776557, 39.476229107385656], [-0.3804357934803911, 39.47630355920542], [-0.3791703866505453, 39.476549786315786]]], ""type"": ""Polygon""}";39.47455122297573, -0.3798818646475224
26;0626;176;51845.3938465;6;"{""coordinates"": [[[-0.35555845678432735, 39.47629405882578], [-0.35389337633087153, 39.47585075201477], [-0.3537524663023382, 39.4758115082359], [-0.3544500627617465, 39.47440852113454], [-0.3550725129572806, 39.473147959157565], [-0.35686705225215354, 39.473643741411635], [-0.35555845678432735, 39.47629405882578]]], ""type"": ""Polygon""}";39.47472511256311, -0.35531180043886845
8;0108;172;51261.6002205;1;"{""coordinates"": [[[-0.3705870978384389, 39.47720719075633], [-0.36976874553403255, 39.47675174493576], [-0.3697173183127638, 39.47499387760158], [-0.37062776894061356, 39.47508655186979], [-0.37068411213332764, 39.47436261961387], [-0.37073557951009445, 39.47413406910976], [-0.37082473043730085, 39.473946901683526], [-0.3697219308958019, 39.4737147348247], [-0.3699893796384575, 39.47267127360086], [-0.37068308953075435, 39.47280859003087], [-0.3713363225984859, 39.472940491367154], [-0.37117857390898057, 39.47332879615477], [-0.3717857835143365, 39.473621803031655], [-0.3717540881282103, 39.474733671262555], [-0.37155161675746035, 39.47509393859131], [-0.3711978503033612, 39.47553637551327], [-0.3710185166959069, 39.475726007364905], [-0.3705870978384389, 39.47720719075633]]], ""type"": ""Polygon""}";39.47477198740025, -0.3706703802374964
17;1317;201;32768.6631575;13;"{""coordinates"": [[[-0.3524316099883627, 39.47376346910422], [-0.35010139145729446, 39.47308425618885], [-0.35018392647247604, 39.47261317845782], [-0.3505752603107099, 39.47181581725537], [-0.3517801887079183, 39.47216759748889], [-0.35191020823718505, 39.47220659542429], [-0.3530363535125767, 39.47252954114931], [-0.3524316099883627, 39.47376346910422]]], ""type"": ""Polygon""}";39.47278845675418, -0.35151702191387535
20;0320;200;37858.538533;3;"{""coordinates"": [[[-0.3878534230691687, 39.47460124135148], [-0.38777197773606814, 39.474486800486574], [-0.3909242392254246, 39.4731477555681], [-0.39025787526157074, 39.47220038061558], [-0.39168911604388, 39.471615418317555], [-0.3930029212864051, 39.47108185657543], [-0.3930457400428796, 39.47114137445604], [-0.39336164678823393, 39.47157187523476], [-0.3907370472364567, 39.47267509436163], [-0.3916532335063055, 39.4739749135512], [-0.3878534230691687, 39.47460124135148]]], ""type"": ""Polygon""}";39.47298123678913, -0.3908474016494514
30;1130;191;49248.9649445;11;"{""coordinates"": [[[-0.33054239494456844, 39.47436190698342], [-0.3300990699511449, 39.47434721772085], [-0.33014729603182147, 39.47344746196024], [-0.3289726767954414, 39.47331237314086], [-0.32883664266562496, 39.4739623789325], [-0.32875608466717554, 39.4740551187697], [-0.32872687188744065, 39.474230108383026], [-0.3277796822773576, 39.474226357355256], [-0.3281529699025777, 39.47193322929291], [-0.329247455657141, 39.47201693649476], [-0.3297448850873563, 39.472059889283784], [-0.3310100712583176, 39.472124980382816], [-0.3306524663652469, 39.47363022411576], [-0.33054239494456844, 39.47436190698342]]], ""type"": ""Polygon""}";39.47299223606101, -0.3293314482651892
22;0522;92;41906.475408;5;"{""coordinates"": [[[-0.3688559293038581, 39.48625779476901], [-0.3686949988381415, 39.48655594429742], [-0.36760750818660926, 39.48627906751097], [-0.3665532414851473, 39.486007437965746], [-0.3670314627486761, 39.48494623200483], [-0.3682289408525392, 39.485022916871806], [-0.37061065846083474, 39.485180436400846], [-0.36983126200011074, 39.48632942394617], [-0.3694398867511494, 39.486225972362], [-0.3693336297303407, 39.4864037421615], [-0.3688559293038581, 39.48625779476901]]], ""type"": ""Polygon""}";39.48567408374368, -0.36849564598011114
27;1227;528;10577.7682505;12;"{""coordinates"": [[[-0.3462765173957307, 39.463663982040885], [-0.3454453526106764, 39.463325197579984], [-0.3459488690319507, 39.46225114170186], [-0.34599005149744066, 39.46216751692019], [-0.3464647341028743, 39.4623077851978], [-0.3463604873058269, 39.46251872343506], [-0.34678408662807797, 39.4626448063276], [-0.3462765173957307, 39.463663982040885]]], ""type"": ""Polygon""}";39.46293470697447, -0.3461130947241142
10;1810;529;38768.406312;18;"{""coordinates"": [[[-0.42097562098780034, 39.5016467980898], [-0.4208605081728584, 39.50066488503539], [-0.42046094754856556, 39.50070990583486], [-0.42012127839036784, 39.49935729334496], [-0.42072147016536343, 39.4992628277415], [-0.42066186134301375, 39.49853629425399], [-0.4210602801630181, 39.498473067466676], [-0.42175008483487175, 39.49955141725275], [-0.4218899104896498, 39.49956352868754], [-0.42226431171055806, 39.50013038258051], [-0.42223226968758304, 39.50021075112208], [-0.4225262541472107, 39.50061367024073], [-0.42268334435272714, 39.50063066813475], [-0.4226637855800802, 39.50080590633847], [-0.42258822703024823, 39.50090332732395], [-0.42184714849804766, 39.501211194398344], [-0.42097562098780034, 39.5016467980898]]], ""type"": ""Polygon""}";39.500134917234874, -0.4212896202456901
26;0926;530;56198.7106565;9;"{""coordinates"": [[[-0.3885021553091805, 39.45316594290629], [-0.387739332687362, 39.45297763245679], [-0.38688567163160553, 39.452868354230176], [-0.38467187180587326, 39.45257981683585], [-0.3849607536197835, 39.45109085987803], [-0.38719812394666475, 39.45138893003159], [-0.3887956064973338, 39.45159150338719], [-0.3886669431519654, 39.452255257618646], [-0.3885021553091805, 39.45316594290629]]], ""type"": ""Polygon""}";39.45209285966094, -0.3867430170874265
54;1154;536;25144.782952;11;"{""coordinates"": [[[-0.33859954252973284, 39.46171827843422], [-0.33763244465305686, 39.4614272159919], [-0.3377180887776648, 39.461309181370154], [-0.3380541259045757, 39.46131003221338], [-0.3382337660999279, 39.459728497675194], [-0.3400701143204393, 39.46006730839146], [-0.33989588380133157, 39.460446192758546], [-0.33984515142917315, 39.46055764099684], [-0.33943086648697646, 39.46107967406734], [-0.33859954252973284, 39.46171827843422]]], ""type"": ""Polygon""}";39.46066691199859, -0.338846393059014
37;1237;537;208285.2131785;12;"{""coordinates"": [[[-0.3580075380387248, 39.46408889982538], [-0.35430544073649345, 39.46287858150539], [-0.352520622769545, 39.46233793969729], [-0.3541052771852742, 39.458761535530556], [-0.3550757615119727, 39.45931514412868], [-0.357882424010485, 39.460081670121106], [-0.35982657870097534, 39.46335549288431], [-0.35867498476202975, 39.46370768512092], [-0.3580075380387248, 39.46408889982538]]], ""type"": ""Polygon""}";39.46163231822025, -0.35608374091646944
44;1244;538;68418.4820755;12;"{""coordinates"": [[[-0.3580075380387248, 39.46408889982538], [-0.35711520572762606, 39.46591989597528], [-0.35608931717246667, 39.465157841476994], [-0.35476884821868077, 39.46419539366099], [-0.35468560793404874, 39.46436015226029], [-0.3539790868092505, 39.46419992762979], [-0.3542133561055818, 39.46369177023354], [-0.3522068484048588, 39.46306499722945], [-0.352520622769545, 39.46233793969729], [-0.35430544073649345, 39.46287858150539], [-0.3580075380387248, 39.46408889982538]]], ""type"": ""Polygon""}";39.463982658635224, -0.3554568335821102
43;0543;540;35732.943445;5;"{""coordinates"": [[[-0.37735986328429777, 39.491354132212706], [-0.3738837153090717, 39.4920605536405], [-0.37532041282555706, 39.490164472306176], [-0.37580312456303544, 39.49007597223751], [-0.37588184965171423, 39.49028644737686], [-0.37688142938171015, 39.49007796923146], [-0.37735986328429777, 39.491354132212706]]], ""type"": ""Polygon""}";39.49103109207168, -0.3757789592315982
31;0531;541;34848.336168;5;"{""coordinates"": [[[-0.37847884883946276, 39.49110580507747], [-0.37735986328429777, 39.491354132212706], [-0.37688142938171015, 39.49007796923146], [-0.37588184965171423, 39.49028644737686], [-0.37580312456303544, 39.49007597223751], [-0.37532041282555706, 39.490164472306176], [-0.37588024744734405, 39.48942557793797], [-0.37659501508462156, 39.48842823959034], [-0.37672911255853364, 39.48882313977465], [-0.37743341222239213, 39.48951469616668], [-0.3779147504878322, 39.48958411609924], [-0.37847884883946276, 39.49110580507747]]], ""type"": ""Polygon""}";39.4900111099047, -0.3770596786622152
37;0237;515;68341.0947525;2;"{""coordinates"": [[[-0.36807067271416233, 39.467393756366356], [-0.37010397813824086, 39.47030457414662], [-0.3686037162840903, 39.470288621444446], [-0.36711394553075033, 39.47026388725947], [-0.3657762993678517, 39.46836425097893], [-0.3669295549516938, 39.46787239036333], [-0.36807067271416233, 39.467393756366356]]], ""type"": ""Polygon""}";39.46906485732662, -0.36785808756542865
27;1327;524;42906.630369;13;"{""coordinates"": [[[-0.34526421715428185, 39.47493820098152], [-0.34143813312919863, 39.473791815572156], [-0.3399953934014986, 39.473371441719486], [-0.34039963723091177, 39.47254288115333], [-0.3394046888693839, 39.4722678699642], [-0.3397535161358954, 39.47155966079838], [-0.341961937778675, 39.47222727650377], [-0.3414093344572392, 39.47340378972127], [-0.34514284554318664, 39.47450709822373], [-0.34543301789554093, 39.47459480592775], [-0.34526421715428185, 39.47493820098152]]], ""type"": ""Polygon""}";39.47314536072459, -0.341645413053171
29;0529;549;40553.3464395;5;"{""coordinates"": [[[-0.37814312052134974, 39.48635063162699], [-0.37900017681986115, 39.48643754158876], [-0.37945289622729156, 39.48771347704035], [-0.37811075492022866, 39.48798498569799], [-0.3777115199303413, 39.48807056879219], [-0.378108325428319, 39.489151567521205], [-0.3779147504878322, 39.48958411609924], [-0.37743341222239213, 39.48951469616668], [-0.37672911255853364, 39.48882313977465], [-0.37659501508462156, 39.48842823959034], [-0.3767365598099864, 39.4882197289671], [-0.3769956109788561, 39.48784270402154], [-0.37726710608018543, 39.48750199443362], [-0.3777332131625742, 39.48691343939375], [-0.37814312052134974, 39.48635063162699]]], ""type"": ""Polygon""}";39.487837940747355, -0.3779521778810883
30;0730;553;48755.0945015;7;"{""coordinates"": [[[-0.4034603594955729, 39.46682964228276], [-0.4029455332658631, 39.468561339643045], [-0.40275056518207275, 39.46929119357303], [-0.39959447431208817, 39.46871611177144], [-0.3998065464464113, 39.467995654945824], [-0.401482564438508, 39.46828538967231], [-0.40198726232215487, 39.46655348169375], [-0.4034603594955729, 39.46682964228276]]], ""type"": ""Polygon""}";39.46806960095562, -0.4019043598504755
29;0929;457;93275.9132215;9;"{""coordinates"": [[[-0.3887956064973338, 39.45159150338719], [-0.38719812394666475, 39.45138893003159], [-0.3849607536197835, 39.45109085987803], [-0.38523766713919244, 39.449669198778466], [-0.3855594416195071, 39.448523315254164], [-0.38810420777787696, 39.449008458133136], [-0.3893170991049943, 39.44922038926409], [-0.38885690732096845, 39.45127306684714], [-0.3887956064973338, 39.45159150338719]]], ""type"": ""Polygon""}";39.450105523339985, -0.38711506263396145
8;0708;275;19990.495064;7;"{""coordinates"": [[[-0.3921868700857339, 39.469959975741695], [-0.39214059741253005, 39.46989587563276], [-0.39158638909952664, 39.469135705609354], [-0.3926677886197735, 39.46747082757002], [-0.3932826660008855, 39.46757922272785], [-0.39279081803211, 39.46851410677646], [-0.39290930885999603, 39.468823064971644], [-0.3929834836049464, 39.46905445392053], [-0.3926035872754362, 39.469811671810405], [-0.39254803857989806, 39.46980141665992], [-0.3921868700857339, 39.469959975741695]]], ""type"": ""Polygon""}";39.468755113263555, -0.3924404370989057
5;0105;521;88695.520848;1;"{""coordinates"": [[[-0.3729327776384455, 39.47694494505937], [-0.37162189948494534, 39.47675763985244], [-0.3705870978384389, 39.47720719075633], [-0.3710185166959069, 39.475726007364905], [-0.3711978503033612, 39.47553637551327], [-0.37155161675746035, 39.47509393859131], [-0.3717540881282103, 39.474733671262555], [-0.3717857835143365, 39.473621803031655], [-0.37117857390898057, 39.47332879615477], [-0.3713363225984859, 39.472940491367154], [-0.3742331820611314, 39.47351047507022], [-0.3742446818454263, 39.473938652437724], [-0.3745421084375126, 39.47400843403079], [-0.37440131673580956, 39.47435209147727], [-0.37422491205381364, 39.4746183693258], [-0.3741652527818914, 39.47483322319488], [-0.3737931337720559, 39.475396872171764], [-0.37369197306345603, 39.47536305519982], [-0.3735914123346783, 39.47548690547427], [-0.37347584411844853, 39.47583563611741], [-0.3734438698726398, 39.4762988568967], [-0.37325469787124155, 39.47626755461477], [-0.373142253677751, 39.47662986864986], [-0.37299319872959463, 39.476806674828424], [-0.3729327776384455, 39.47694494505937]]], ""type"": ""Polygon""}";39.47501356229471, -0.3725594038875147
12;1012;372;18862.1970005;10;"{""coordinates"": [[[-0.3652494236270179, 39.46132549697072], [-0.3650081922595432, 39.46142361989112], [-0.3636835512018422, 39.46083953812825], [-0.363877441157648, 39.46053313291896], [-0.3654130286974576, 39.4599733824706], [-0.36544672788059557, 39.46002369477224], [-0.3661209568990383, 39.46096237839081], [-0.3652494236270179, 39.46132549697072]]], ""type"": ""Polygon""}";39.46073359918895, -0.3649606608334575
14;0814;373;33299.342095;8;"{""coordinates"": [[[-0.3924284251616237, 39.46193857811619], [-0.3915837521301714, 39.46146918183858], [-0.39093970792210614, 39.461112389635744], [-0.39072909814033796, 39.46099505100341], [-0.3902055349257154, 39.46069951706483], [-0.3910040958648276, 39.45962288278008], [-0.391961946823115, 39.46015338034783], [-0.39335441292075074, 39.460950370486536], [-0.3928044303425813, 39.46153712107862], [-0.3924284251616237, 39.46193857811619]]], ""type"": ""Polygon""}";39.460794953065104, -0.3917507687582048
14;0114;154;43756.53594;1;"{""coordinates"": [[[-0.3788854253569284, 39.47916489944665], [-0.378583896562752, 39.47912656697882], [-0.3781664448482652, 39.47904057435806], [-0.37802060649822117, 39.478996744271825], [-0.37772838501890876, 39.47898114156863], [-0.37783060598576435, 39.47873570655669], [-0.3780049271007486, 39.47864054332262], [-0.37830248277461287, 39.47822385275477], [-0.37845700881681554, 39.478056171892085], [-0.37879356517061274, 39.478167365084865], [-0.37884334292684907, 39.47798380768093], [-0.37915540140077075, 39.477761121950905], [-0.3786498709979621, 39.47758305670042], [-0.3785492117328483, 39.47753574203964], [-0.37868134409818516, 39.477480165560344], [-0.3789556387119298, 39.47731519462483], [-0.3790743740150601, 39.47707463526728], [-0.3791396016856109, 39.47690493934022], [-0.37917496630502306, 39.47683366658896], [-0.3791703866505453, 39.476549786315786], [-0.3804357934803911, 39.47630355920542], [-0.380249801317458, 39.47676781469168], [-0.38035322953389067, 39.47728364761381], [-0.38020847258242685, 39.477694788753794], [-0.3807622817354011, 39.47774781234338], [-0.38066758166835646, 39.478412328519745], [-0.38061270815965514, 39.478712877178154], [-0.3804834054248509, 39.47900274822731], [-0.3798595843875285, 39.47884003912888], [-0.37982119082411425, 39.47893376574787], [-0.37926154866527634, 39.478745474168306], [-0.3788854253569284, 39.47916489944665]]], ""type"": ""Polygon""}";39.4779383382871, -0.3795010874535988
32;1132;150;41833.246192;11;"{""coordinates"": [[[-0.3298508114185146, 39.47891791837234], [-0.32898789275107176, 39.478893591115835], [-0.32899340473677924, 39.4787495782899], [-0.32863464513349516, 39.47874583564582], [-0.32864084399931165, 39.47769196685883], [-0.3286468943621395, 39.47656602472549], [-0.3287171209454522, 39.47647755189185], [-0.32870941444305946, 39.47510355339686], [-0.32992482556973907, 39.4754648006208], [-0.3298508114185146, 39.47891791837234]]], ""type"": ""Polygon""}";39.47707793790306, -0.32927360845507786
